name,cg tank condition,focal sex,male chased another male,male chased by another male,total male-male chases,female chased by male,male displays to female,parallel swims with female,dorsal fin extension to female,sigmoid/gonopodial swing to female,body contact with female,total male courting ,displays received by female,parallel swims with male,dorsal fin extension received by female,sigmoid/gonopodial swing received by female,body contact received by female,total courting received by female,male foraging,female foraging,female chased by female,male chasing juvenile 
Byelousova,SS,F,,,,2,,,,,,,2,3,0,0,0,5,,12,6,
Byelousova,FF,F,,,,21,,,,,,,,,,,,,,25,,
Sebastian,LS ,M,10,0,10,13,1,3,0,0,0,17,1,0,0,0,0,1,3,0,0,0
Sebastian,LS ,F,0,0,0,6,3,2,0,0,0,11,3,2,0,0,0,5,0,8,0,0
Sebastian,LL,M,6,4,10,16,8,2,2,0,1,29,8,2,2,0,1,13,0,0,0,0
Sebastian,LL,F,0,0,0,18,4,10,0,0,0,32,4,10,0,0,0,14,0,7,5,0
Sebastian,SS,M,8,6,14,25,2,6,0,2,7,42,2,6,0,2,7,17,0,0,0,0
Sebastian,SS,F,0,0,0,11,1,2,0,0,0,14,1,2,0,0,0,3,0,6,11,0
Sebastian,II,M,2,3,5,13,4,2,2,0,0,19,4,2,0,0,0,6,3,0,0,0
Sebastian,II,F,0,0,0,12,1,2,0,0,0,15,1,2,0,0,0,3,0,11,3,0
Sebastian,FF,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,0
Bryan,LS,F,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Bryan,LS,M,3,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,LL,F,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Bryan,LL,M,4,0,,4,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0
Bryan,SS,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Bryan ,SS,M,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,II,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
Bryan,II,M,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,FF,F,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,8,11,0
